"font family","style","genre","subgenre","monospace","cap","ch","em","ex","ic","lh","foundry","designers","added","updated"
"Miss Fajardose","regular","calligraphic","","false","784","400","800","357.8125","784","784","","Sudtipos","2011-11-30","2019-07-16"
"Mitr","extra-light","sans-serif","","false","784","400","800","357.8125","784","784","","Cadson Demak","2016-06-15","2019-07-16"
"Mitr","light","sans-serif","","false","784","400","800","357.8125","784","784","","Cadson Demak","2016-06-15","2019-07-16"
"Mitr","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Cadson Demak","2016-06-15","2019-07-16"
"Mitr","medium","sans-serif","","false","784","400","800","357.8125","784","784","","Cadson Demak","2016-06-15","2019-07-16"
"Mitr","semi-bold","sans-serif","","false","784","400","800","365.234375","784","784","","Cadson Demak","2016-06-15","2019-07-16"
"Mitr","bold","sans-serif","","false","784","400","800","365.234375","784","784","","Cadson Demak","2016-06-15","2019-07-16"
"Modak","regular","display","","false","784","400","800","357.8125","784","784","","Ek Type","2015-02-18","2019-07-16"
"Modern Antiqua","regular","display","","false","784","400","800","357.8125","784","784","","Wojciech Kalinowski","2011-07-13","2019-07-16"
"Mogra","regular","display","","false","784","400","800","357.8125","784","784","","Lipi Raval","2016-06-15","2019-07-16"
"Molengo","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Denis Jacquerye","2010-04-19","2019-07-16"
"Molle","regular italic","calligraphic","","false","784","400","800","353.515625","784","784","","Elena Albertoni","2012-09-18","2019-07-16"
"Monda","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Vernon Adams","2012-11-30","2019-07-17"
"Monda","bold","sans-serif","","false","784","400","800","365.234375","784","784","","Vernon Adams","2012-11-30","2019-07-17"
"Monofett","regular","display","","false","784","400","800","357.8125","784","784","","Vernon Adams","2011-05-04","2019-07-16"
"Monoton","regular","display","","false","784","400","800","357.8125","784","784","","Vernon Adams","2011-08-24","2019-07-16"
"Monsieur La Doulaise","regular","calligraphic","","false","784","400","800","357.8125","784","784","","Sudtipos","2011-11-30","2019-07-16"
"Montaga","regular","serif","","false","784","400","800","357.8125","784","784","","Alejandra Rodriguez","2012-01-18","2019-07-16"
"Montez","regular","calligraphic","","false","784","400","800","357.8125","784","784","","Astigmatic","2011-08-17","2019-07-16"
"Montserrat","thin","sans-serif","geometric","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","extra-light","sans-serif","geometric","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","light","sans-serif","geometric","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","regular","sans-serif","geometric","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","medium","sans-serif","geometric","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","semi-bold","sans-serif","geometric","false","784","400","800","365.234375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","bold","sans-serif","geometric","false","784","400","800","365.234375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","extra-bold","sans-serif","geometric","false","784","400","800","365.234375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","black","sans-serif","geometric","false","784","400","800","365.234375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
